	Initial generation
Global best:  	Position: (-1.2790, -2.2955) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -35.755035 
Particle 11 	Position: (-1.5225, -1.3559) 	 | Velocity :(0.9600, -3.7048) 	 | Fitness: -45.239224
Particle 12 	Position: (-1.2790, -2.2955) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -35.755035
Particle 13 	Position: (4.1277, 3.6858) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -3.166923
Particle 14 	Position: (-0.8003, 0.0430) 	 | Velocity :(-0.2409, -1.1769) 	 | Fitness: -16.223465
Particle 15 	Position: (-1.0848, -0.3510) 	 | Velocity :(-0.2149, -2.1518) 	 | Fitness: -29.402268
Particle 16 	Position: (-3.0539, 2.5919) 	 | Velocity :(0.8255, -2.2733) 	 | Fitness: 26.913502
Particle 17 	Position: (-1.1855, -0.8678) 	 | Velocity :(-0.1824, -2.7855) 	 | Fitness: -40.081683
Particle 18 	Position: (-1.2522, -2.2789) 	 | Velocity :(-5.5234, -3.4142) 	 | Fitness: -35.969739
Particle 19 	Position: (-0.6911, -1.8902) 	 | Velocity :(-4.6697, -3.2197) 	 | Fitness: -35.620255


	Generation:  2
Particle 0 	Position: (-2.1311, 0.6608) 	 | Velocity :(0.3595, -1.2074) 	 | Fitness: -0.855969
Particle 1 	Position: (-2.2751, -1.8699) 	 | Velocity :(-2.2859, 0.6020) 	 | Fitness: -34.268436
Particle 2 	Position: (1.3651, 0.5424) 	 | Velocity :(2.5280, 2.7547) 	 | Fitness: 39.535606
Particle 3 	Position: (-1.5137, -2.8781) 	 | Velocity :(-0.1421, -5.8578) 	 | Fitness: -20.897023
Particle 4 	Position: (2.1515, -2.8396) 	 | Velocity :(-1.1086, 0.4109) 	 | Fitness: 26.156970
Particle 5 	Position: (0.7365, -5.0000) 	 | Velocity :(1.6913, -4.5769) 	 | Fitness: 66.308872
Particle 6 	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620
Particle 7 	Position: (-3.8090, -1.5122) 	 | Velocity :(-2.3437, 0.7566) 	 | Fitness: 7.311511
Particle 8 	Position: (-0.7817, -5.0000) 	 | Velocity :(0.5442, -4.3044) 	 | Fitness: 31.971261
Particle 9 	Position: (-1.4331, -3.2756) 	 | Velocity :(-0.1228, -2.5395) 	 | Fitness: -8.640603
Particle 10 	Position: (-0.9005, -0.3140) 	 | Velocity :(-1.4822, -2.6247) 	 | Fitness: -26.404156
Particle 11 	Position: (-0.7545, -4.3197) 	 | Velocity :(0.7680, -2.9639) 	 | Fitness: 25.203275
Particle 12 	Position: (-1.4068, -1.8022) 	 | Velocity :(-0.1278, 0.4933) 	 | Fitness: -43.771326
Particle 13 	Position: (-1.3505, -1.2283) 	 | Velocity :(-5.1803, -4.5846) 	 | Fitness: -44.611247
Particle 14 	Position: (-1.4104, -1.7069) 	 | Velocity :(-0.6101, -1.7499) 	 | Fitness: -44.545013
Particle 15 	Position: (-1.3172, -2.2113) 	 | Velocity :(-0.2324, -1.8603) 	 | Fitness: -37.619799
Particle 16 	Position: (-1.5033, -1.5213) 	 | Velocity :(1.5505, -4.1133) 	 | Fitness: -45.338075
Particle 17 	Position: (-1.4855, -3.3193) 	 | Velocity :(-0.3000, -2.4515) 	 | Fitness: -7.265112
Particle 18 	Position: (-5.0000, -4.1695) 	 | Velocity :(-4.6650, -1.8906) 	 | Fitness: 87.763650
Particle 19 	Position: (-4.6589, -4.3168) 	 | Velocity :(-3.9678, -2.4267) 	 | Fitness: 88.374519


Global best:  	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620 

Particles best: 

Particle 0 	Position: (-2.1311, 0.6608) 	 | Velocity :(0.3595, -1.2074) 	 | Fitness: -0.855969
Particle 1 	Position: (-2.2751, -1.8699) 	 | Velocity :(-2.2859, 0.6020) 	 | Fitness: -34.268436
Particle 2 	Position: (-1.1629, -2.2123) 	 | Velocity :(3.5397, 2.5389) 	 | Fitness: -36.733309
Particle 3 	Position: (-1.4006, 4.6327) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -26.136085
Particle 4 	Position: (3.7609, -3.3558) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 16.209164
Particle 5 	Position: (-0.9548, -3.1977) 	 | Velocity :(2.4628, -6.8523) 	 | Fitness: -7.865155
Particle 6 	Position: (-1.4825, -1.4104) 	 | Velocity :(-4.5687, 1.9499) 	 | Fitness: -45.394620
